訂單編號,顧客姓名,購買次數,訂單日期,訂單時間,宅配地址(縣),訂單來源,訂單金額,訂購數量,運費,綜合巧克力禮盒,柴燒黑糖巧克力,100%無糖巧克力磚,95%巧克力磚,85%巧克力磚,75%巧克力磚,65%巧克力磚,紅藜巧克力BAR,牛奶巧克力BAR,洛神花巧克力BAR,杏仁巧克力豆,天然可可豆茶,95%黑巧克力冰淇淋,烘培可可豆,杏仁可可瓦片,海鹽巧克力BAR,花生巧克力BAR,抹茶拿鐵生巧克力,經典生巧克力,65%巧克力禮盒,75%巧克力禮盒,85%巧克力禮盒,95%巧克力禮盒,草莓季限定款巧克力禮盒
1013,朱致群,4,2021/1/2,,花蓮縣,品牌官網,5096,10,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
809,鍾沐勻,7,2021/1/3,,連江縣,品牌官網,5978,15,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
781,陳世賢,6,2021/1/4,,連江縣,LINE,4799,14,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
1065,丁志豪,5,2021/1/4,,花蓮縣,FB,5936,13,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1
1482,莊旻諺,8,2021/1/4,,苗栗縣,推薦分潤,2689,8,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
347,林美玉,7,2021/1/5,,南投縣,FB,6416,15,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
601,頂秋雯,7,2021/1/5,,基隆市,LINE,5227,13,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
697,陳子崴,7,2021/1/5,,臺南市,推薦分潤,7116,16,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
1024,陳淑貞,10,2021/1/5,,嘉義縣,品牌官網,3968,10,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1
1095,鄧月新,11,2021/1/5,,彰化縣,推薦分潤,7236,18,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
1328,伯承宗,7,2021/1/5,,臺南市,FB,4498,11,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0
906,林美均,12,2021/1/6,,嘉義市,LINE,5587,13,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1
570,李翠玲,7,2021/1/7,,宜蘭縣,FB,5337,12,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0
863,陳世賢,4,2021/1/7,,南投縣,FB,5647,14,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
702,林美均,14,2021/1/8,,苗栗縣,FB,3628,10,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1
783,吳瑤玲,3,2021/1/9,,苗栗縣,LINE,5067,11,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1
968,邱啓芳,7,2021/1/9,,臺北市,LINE,6137,15,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
608,陳雅玲,6,2021/1/10,,雲林縣,推薦分潤,6717,17,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
1616,古秀華,4,2021/1/11,,基隆市,推薦分潤,6486,14,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
355,周詠訓,4,2021/1/12,,嘉義縣,品牌官網,4279,12,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0
1060,周詠訓,5,2021/1/12,,宜蘭縣,品牌官網,5418,14,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0
412,邱韶恩,6,2021/1/13,,高雄市,推薦分潤,2920,9,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
613,周詠訓,6,2021/1/13,,屏東縣,LINE,5268,12,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0
723,邱韶恩,10,2021/1/13,,高雄市,FB,4968,13,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1
756,張元溢,4,2021/1/13,,臺南市,品牌官網,4429,13,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
1269,吳怡萱,8,2021/1/13,,南投縣,LINE,5396,11,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1
320,林美均,4,2021/1/14,,宜蘭縣,品牌官網,3919,11,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1
849,林衣緹,3,2021/1/14,,宜蘭縣,品牌官網,5786,13,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1
1035,林辰安,7,2021/1/14,,臺東縣,FB,6127,14,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0
1067,林建呈,13,2021/1/14,,臺東縣,FB,6337,15,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0
1167,李俊宏,14,2021/1/14,,新北市,LINE,5138,13,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
1476,傅偉茹,9,2021/1/14,,臺南市,推薦分潤,4898,12,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
1,邱啓芳,6,2021/1/15,15:41,臺南市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,陳雅雯,6,2021/1/15,15:47,新北市,品牌官網,2299,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1
3,鄭哲智,7,2021/1/15,16:30,屏東縣,FB,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,陳惠娟,5,2021/1/15,17:37,屏東縣,品牌官網,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,陳煜棠,3,2021/1/15,19:17,高雄市,品牌官網,1657,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
304,馬慧語,6,2021/1/15,,臺南市,推薦分潤,6087,14,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0
579,傅偉茹,7,2021/1/15,,新竹市,品牌官網,6586,14,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0
1032,朱致群,4,2021/1/15,,臺中市,LINE,4826,9,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
6,黃佩婷,8,2021/1/16,11:46,高雄市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,唐翊,7,2021/1/16,12:34,台南市,推薦分潤,3167,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3
367,王秀玲,8,2021/1/16,,苗栗縣,推薦分潤,5467,14,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
509,林香伶,8,2021/1/16,,苗栗縣,LINE,5228,14,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0
542,李芷瑄,8,2021/1/16,,桃園市,推薦分潤,5296,12,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1
1329,葉紋豪,6,2021/1/16,,臺南市,推薦分潤,5318,14,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
1444,游雲雅,3,2021/1/16,,臺中市,品牌官網,4688,13,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1
8,王琬婷,6,2021/1/17,00:05,臺南市,推薦分潤,1349,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
9,林美均,6,2021/1/17,00:18,彰化縣,推薦分潤,1739,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
10,吳秋燕,6,2021/1/17,13:53,臺北市,推薦分潤,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,邱秀菊,4,2021/1/17,19:59,彰化縣,推薦分潤,850,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
605,馬瑞萍,25,2021/1/17,,高雄市,品牌官網,3978,10,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
979,洪大幽,7,2021/1/17,,臺東縣,品牌官網,3549,10,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
12,陳淑貞,4,2021/1/18,14:45,臺北市,FB,1210,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
13,林衣緹,3,2021/1/18,15:02,臺北市,推薦分潤,2297,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
14,林辰安,8,2021/1/18,15:32,南投縣,推薦分潤,6373,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,7
15,周詠訓,4,2021/1/18,15:35,臺北市,推薦分潤,940,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
16,秦嘉翎,14,2021/1/18,15:58,花蓮縣,推薦分潤,1639,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
17,鄧月新,4,2021/1/18,16:20,苗栗縣,推薦分潤,1809,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
18,秦嘉翎,14,2021/1/18,18:33,新竹市,推薦分潤,2040,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
19,王書屏,5,2021/1/18,23:28,新竹市,品牌官網,1548,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,葉紋豪,8,2021/1/18,23:53,屏東縣,LINE,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
401,傅偉茹,10,2021/1/18,,臺南市,LINE,5927,14,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1
757,許永朋,11,2021/1/18,,雲林縣,品牌官網,3379,8,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1219,詹賀盛,5,2021/1/18,,新竹市,LINE,7186,16,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0
1248,鄧月新,5,2021/1/18,,臺中市,品牌官網,3479,9,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0
1296,邱雨晴,6,2021/1/18,,高雄市,推薦分潤,5277,13,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
21,李俊宏,6,2021/1/19,10:39,臺南市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,王家傳,5,2021/1/19,11:50,新北市,品牌官網,959,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,頂秋雯,9,2021/1/19,12:34,臺北市,品牌官網,2495,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,林靚昕,3,2021/1/19,13:28,臺南市,品牌官網,2799,9,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,1
25,伯承宗,5,2021/1/19,14:47,台中市,品牌官網,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,許左岸,5,2021/1/19,20:20,屏東縣,推薦分潤,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,宋秉紋,6,2021/1/19,22:20,高雄市,推薦分潤,959,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
851,林美玉,6,2021/1/19,,南投縣,FB,4488,10,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
1527,林美均,7,2021/1/19,,臺南市,LINE,5597,13,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0
1596,林建呈,6,2021/1/19,,雲林縣,LINE,5088,12,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0
28,林漢昌,6,2021/1/20,06:19,臺北市,品牌官網,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,羅子琦,5,2021/1/20,09:52,新北市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,傅偉茹,7,2021/1/20,23:39,屏東縣,品牌官網,1259,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,盧國濱,8,2021/1/20,12:56,屏東縣,品牌官網,959,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,潘思綺,3,2021/1/20,05:33,臺中市,品牌官網,1039,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
33,呂展志,10,2021/1/20,18:02,臺北市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,游雲雅,6,2021/1/20,19:38,屏東縣,推薦分潤,998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,許哲彰,9,2021/1/20,20:38,屏東縣,品牌官網,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,陳怡紋,4,2021/1/20,19:37,新北市,推薦分潤,1458,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,何讚美,4,2021/1/20,20:54,台南市,推薦分潤,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
659,林美均,3,2021/1/20,,新北市,FB,3299,10,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
673,邱韶恩,6,2021/1/20,,屏東縣,LINE,5767,14,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1
1074,王秀玲,19,2021/1/20,,新竹縣,LINE,4038,11,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1
1099,伯承宗,8,2021/1/20,,臺中市,LINE,4928,13,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0
1206,劉書瑾,8,2021/1/20,,彰化縣,品牌官網,5197,13,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1
1286,陳淑貞,10,2021/1/20,,嘉義市,FB,4847,11,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
1651,林宜靜,3,2021/1/20,,花蓮縣,FB,4067,9,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1
36,蘇家儀,4,2021/1/21,07:29,屏東縣,推薦分潤,4990,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
37,林靜微,5,2021/1/21,09:21,屏東縣,推薦分潤,1458,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,田慶山,7,2021/1/21,11:12,屏東縣,推薦分潤,1839,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
39,詹賀盛,5,2021/1/21,13:21,新竹市,推薦分潤,2398,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
40,吳旻桓,7,2021/1/21,14:22,新北市,推薦分潤,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41,莊旻諺,7,2021/1/21,14:31,桃園市,推薦分潤,1409,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
42,馬慧語,5,2021/1/21,15:15,臺南市,推薦分潤,2097,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
888,Paul Wu,8,2021/1/21,,基隆市,推薦分潤,5567,11,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
43,朱致群,7,2021/1/22,08:23,新竹縣,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,朱致群,7,2021/1/22,09:26,桃園市,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,劉書瑾,3,2021/1/22,11:05,台南市,推薦分潤,1657,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46,呂沂伶,10,2021/1/22,16:13,桃園市,推薦分潤,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,李芷瑄,6,2021/1/22,17:06,宜蘭縣,品牌官網,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,蕭幼蘋,8,2021/1/22,20:11,新竹縣,品牌官網,2070,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
273,王珮華,17,2021/1/22,13:55,南投縣,品牌官網,3340,10,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
464,劉書瑾,8,2021/1/22,,新北市,FB,4938,11,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
1118,吳昱瑄,8,2021/1/22,,連江縣,品牌官網,3668,10,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1
1637,林靜微,5,2021/1/22,,臺東縣,FB,4238,12,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
49,吳怡萱,4,2021/1/23,23:19,屏東縣,品牌官網,2039,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
634,陳世賢,7,2021/1/23,,花蓮縣,推薦分潤,3877,9,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
1354,伯承宗,4,2021/1/23,,臺中市,推薦分潤,5716,12,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1
1484,林靚昕,7,2021/1/23,,嘉義縣,品牌官網,5318,12,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0
1564,蔡月桃,6,2021/1/23,,新北市,FB,4578,12,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0
50,江文章,6,2021/1/24,08:28,高雄市,推薦分潤,1049,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
51,丁志豪,6,2021/1/24,23:01,高雄市,品牌官網,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,林香伶,6,2021/1/24,13:21,高雄市,推薦分潤,1259,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
53,陳雅玲,9,2021/1/24,14:14,嘉義市,推薦分潤,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
870,吳旻桓,6,2021/1/24,,金門縣,FB,5677,13,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1246,邱秀菊,11,2021/1/24,,新竹縣,推薦分潤,4887,11,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0
54,謝岱融,4,2021/1/25,16:04,屏東縣,推薦分潤,1657,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,洪佩琪,7,2021/1/25,16:12,高雄市,推薦分潤,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56,吳建宜,7,2021/1/25,16:53,台北市,推薦分潤,1060,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,張元溢,2,2021/1/25,17:09,台北市,推薦分潤,2795,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
58,吳麗慧,11,2021/1/25,17:22,台北市,FB,1800,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
59,Paul Wu,6,2021/1/25,21:56,新竹縣,推薦分潤,1259,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
491,吳昱瑄,9,2021/1/25,,臺東縣,LINE,5018,15,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1
752,鍾沐勻,6,2021/1/25,,金門縣,推薦分潤,5367,13,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1
922,黃佩婷,8,2021/1/25,,澎湖縣,LINE,5387,14,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
1141,王秀玲,6,2021/1/25,,臺中市,LINE,5627,13,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0
1142,秦嘉翎,7,2021/1/25,,屏東縣,LINE,4737,12,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
1619,林冠宇,17,2021/1/25,,苗栗縣,品牌官網,4788,12,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
60,黃振德,6,2021/1/26,09:54,新北市,推薦分潤,959,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,洪大幽,6,2021/1/26,10:34,屏東縣,推薦分潤,1158,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
96,許永朋,6,2021/1/26,23:37,高雄市,品牌官網,2097,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
758,宋秉紋,5,2021/1/26,,彰化縣,LINE,6696,15,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1
1083,黃佩婷,6,2021/1/26,,雲林縣,品牌官網,3440,11,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
1557,秦嘉翎,9,2021/1/26,,宜蘭縣,FB,6526,16,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
1562,Paul Wu,8,2021/1/26,,臺北市,FB,3718,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
62,孫佳華,5,2021/1/27,14:53,屏東縣,推薦分潤,1139,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
63,林宜靜,7,2021/1/27,16:00,臺南市,推薦分潤,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,林冠宇,7,2021/1/27,20:43,新北市,推薦分潤,1657,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
